country_code,country,year,variable,indicator,value,source
BRA,Brazil,2007,hightech_exports,TX.VAL.TECH.MF.ZS,12.6278356939529,World Bank WDI
BRA,Brazil,2007,internet_users,IT.NET.USER.ZS,30.87999916,World Bank WDI
BRA,Brazil,2007,manufacturing_value_added,NV.IND.MANF.ZS,14.1542648057288,World Bank WDI
BRA,Brazil,2007,patent_nonresident,IP.PAT.NRES,17469.0,World Bank WDI
BRA,Brazil,2007,patent_resident,IP.PAT.RESD,4194.0,World Bank WDI
BRA,Brazil,2007,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.08138,World Bank WDI
BRA,Brazil,2007,researchers_rd,SP.POP.SCIE.RD.P6,562.55469,World Bank WDI
BRA,Brazil,2008,fdi,BX.KLT.DINV.WD.GD.ZS,2.99060946922903,World Bank WDI
BRA,Brazil,2008,fixed_broadband,IT.NET.BBND.P2,5.26188788450655,World Bank WDI
BRA,Brazil,2008,government_education,SE.XPD.TOTL.GD.ZS,5.26884984970093,World Bank WDI
BRA,Brazil,2008,hightech_exports,TX.VAL.TECH.MF.ZS,12.761526959305,World Bank WDI
BRA,Brazil,2008,internet_users,IT.NET.USER.ZS,33.83,World Bank WDI
BRA,Brazil,2008,manufacturing_value_added,NV.IND.MANF.ZS,13.9551769000753,World Bank WDI
BRA,Brazil,2008,patent_nonresident,IP.PAT.NRES,18890.0,World Bank WDI
BRA,Brazil,2008,patent_resident,IP.PAT.RESD,4280.0,World Bank WDI
BRA,Brazil,2008,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.12904,World Bank WDI
BRA,Brazil,2008,researchers_rd,SP.POP.SCIE.RD.P6,598.65285,World Bank WDI
BRA,Brazil,2009,fdi,BX.KLT.DINV.WD.GD.ZS,1.88848224095724,World Bank WDI
BRA,Brazil,2009,fixed_broadband,IT.NET.BBND.P2,6.10682944207956,World Bank WDI
BRA,Brazil,2009,government_education,SE.XPD.TOTL.GD.ZS,5.46355009078979,World Bank WDI
BRA,Brazil,2009,hightech_exports,TX.VAL.TECH.MF.ZS,14.7587820517537,World Bank WDI
BRA,Brazil,2009,internet_users,IT.NET.USER.ZS,39.22,World Bank WDI
BRA,Brazil,2009,manufacturing_value_added,NV.IND.MANF.ZS,13.0594621488915,World Bank WDI
BRA,Brazil,2009,patent_nonresident,IP.PAT.NRES,18135.0,World Bank WDI
BRA,Brazil,2009,patent_resident,IP.PAT.RESD,4271.0,World Bank WDI
BRA,Brazil,2009,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.11866,World Bank WDI
BRA,Brazil,2009,researchers_rd,SP.POP.SCIE.RD.P6,634.14103,World Bank WDI
BRA,Brazil,2010,fdi,BX.KLT.DINV.WD.GD.ZS,3.73001288350945,World Bank WDI
BRA,Brazil,2010,fixed_broadband,IT.NET.BBND.P2,7.27968486054674,World Bank WDI
BRA,Brazil,2010,government_education,SE.XPD.TOTL.GD.ZS,5.64879989624023,World Bank WDI
BRA,Brazil,2010,hightech_exports,TX.VAL.TECH.MF.ZS,12.590146869358,World Bank WDI
BRA,Brazil,2010,internet_users,IT.NET.USER.ZS,40.65,World Bank WDI
BRA,Brazil,2010,manufacturing_value_added,NV.IND.MANF.ZS,12.7218596106703,World Bank WDI
BRA,Brazil,2010,patent_nonresident,IP.PAT.NRES,20771.0,World Bank WDI
BRA,Brazil,2010,patent_resident,IP.PAT.RESD,4228.0,World Bank WDI
BRA,Brazil,2010,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.15992,World Bank WDI
BRA,Brazil,2010,researchers_rd,SP.POP.SCIE.RD.P6,696.09998,World Bank WDI
BRA,Brazil,2011,fdi,BX.KLT.DINV.WD.GD.ZS,3.91518011405433,World Bank WDI
BRA,Brazil,2011,fixed_broadband,IT.NET.BBND.P2,9.13182030910824,World Bank WDI
BRA,Brazil,2011,government_education,SE.XPD.TOTL.GD.ZS,5.73741006851196,World Bank WDI
BRA,Brazil,2011,hightech_exports,TX.VAL.TECH.MF.ZS,11.1409081379377,World Bank WDI
BRA,Brazil,2011,internet_users,IT.NET.USER.ZS,45.69,World Bank WDI
BRA,Brazil,2011,manufacturing_value_added,NV.IND.MANF.ZS,11.7837976692113,World Bank WDI
BRA,Brazil,2011,patent_nonresident,IP.PAT.NRES,23954.0,World Bank WDI
BRA,Brazil,2011,patent_resident,IP.PAT.RESD,4695.0,World Bank WDI
BRA,Brazil,2011,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.13966,World Bank WDI
BRA,Brazil,2011,researchers_rd,SP.POP.SCIE.RD.P6,749.17174,World Bank WDI
BRA,Brazil,2012,fdi,BX.KLT.DINV.WD.GD.ZS,3.75496285641218,World Bank WDI
BRA,Brazil,2012,fixed_broadband,IT.NET.BBND.P2,9.71151141846763,World Bank WDI
BRA,Brazil,2012,government_education,SE.XPD.TOTL.GD.ZS,5.85510015487671,World Bank WDI
BRA,Brazil,2012,hightech_exports,TX.VAL.TECH.MF.ZS,11.8872212915256,World Bank WDI
BRA,Brazil,2012,internet_users,IT.NET.USER.ZS,48.56,World Bank WDI
BRA,Brazil,2012,manufacturing_value_added,NV.IND.MANF.ZS,10.6759423074609,World Bank WDI
BRA,Brazil,2012,patent_nonresident,IP.PAT.NRES,25637.0,World Bank WDI
BRA,Brazil,2012,patent_resident,IP.PAT.RESD,4798.0,World Bank WDI
BRA,Brazil,2012,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.12684,World Bank WDI
BRA,Brazil,2012,researchers_rd,SP.POP.SCIE.RD.P6,801.40894,World Bank WDI
BRA,Brazil,2012,tertiary_enrolment,SE.TER.ENRR,43.8344116210938,World Bank WDI
BRA,Brazil,2013,fdi,BX.KLT.DINV.WD.GD.ZS,3.04150901624338,World Bank WDI
BRA,Brazil,2013,fixed_broadband,IT.NET.BBND.P2,10.7622017659472,World Bank WDI
BRA,Brazil,2013,government_education,SE.XPD.TOTL.GD.ZS,5.8388500213623,World Bank WDI
BRA,Brazil,2013,hightech_exports,TX.VAL.TECH.MF.ZS,11.9698618012495,World Bank WDI
BRA,Brazil,2013,internet_users,IT.NET.USER.ZS,51.04,World Bank WDI
BRA,Brazil,2013,manufacturing_value_added,NV.IND.MANF.ZS,10.4796122911618,World Bank WDI
BRA,Brazil,2013,patent_nonresident,IP.PAT.NRES,25925.0,World Bank WDI
BRA,Brazil,2013,patent_resident,IP.PAT.RESD,4959.0,World Bank WDI
BRA,Brazil,2013,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.19567,World Bank WDI
BRA,Brazil,2013,researchers_rd,SP.POP.SCIE.RD.P6,852.71699,World Bank WDI
BRA,Brazil,2013,tertiary_enrolment,SE.TER.ENRR,44.9966697692871,World Bank WDI
BRA,Brazil,2014,fdi,BX.KLT.DINV.WD.GD.ZS,3.57135266957477,World Bank WDI
BRA,Brazil,2014,fixed_broadband,IT.NET.BBND.P2,11.9790772854396,World Bank WDI
BRA,Brazil,2014,government_education,SE.XPD.TOTL.GD.ZS,5.94848012924194,World Bank WDI
BRA,Brazil,2014,hightech_exports,TX.VAL.TECH.MF.ZS,12.3711688680768,World Bank WDI
BRA,Brazil,2014,internet_users,IT.NET.USER.ZS,54.5510018796392,World Bank WDI
BRA,Brazil,2014,manufacturing_value_added,NV.IND.MANF.ZS,10.3370973963623,World Bank WDI
BRA,Brazil,2014,patent_nonresident,IP.PAT.NRES,25683.0,World Bank WDI
BRA,Brazil,2014,patent_resident,IP.PAT.RESD,4659.0,World Bank WDI
BRA,Brazil,2014,rd_expenditure,GB.XPD.RSDV.GD.ZS,1.26971,World Bank WDI
BRA,Brazil,2014,researchers_rd,SP.POP.SCIE.RD.P6,903.20079,World Bank WDI
BRA,Brazil,2014,tertiary_enrolment,SE.TER.ENRR,47.8131904602051,World Bank WDI
BRA,Brazil,2015,fdi,BX.KLT.DINV.WD.GD.ZS,3.59214931791344,World Bank WDI
BRA,Brazil,2015,fixed_broadband,IT.NET.BBND.P2,12.6353840484725,World Bank WDI
