country_code,country,year,fdi,fixed_broadband,government_education,hightech_exports,internet_users,manufacturing_value_added,patent_nonresident,patent_resident,rd_expenditure,researchers_rd,tertiary_enrolment
BRA,Brazil,2000,5.03391680528314,0.0574652265559086,3.94893002510071,,2.87068515854108,13.1346595913847,14104.0,3179.0,1.04752,298.53981,
BRA,Brazil,2001,4.14759377398385,0.187746875442478,3.84467005729675,,4.52849486902851,13.0895379357967,14410.0,3439.0,1.06197,341.27926,
BRA,Brazil,2002,3.25358061271527,0.409515816509217,3.75037002563477,,9.14942508560748,12.3569626659174,13204.0,3481.0,1.00967,403.16475,
BRA,Brazil,2003,1.81340052439304,0.534956051589709,,,13.2075861035303,14.4507645634139,12545.0,3866.0,0.99939,428.48507,
BRA,Brazil,2004,2.71353166307823,1.7284595748202,3.97448992729187,,19.073672274442,15.0995301566951,12669.0,4044.0,0.96343,489.27106,
BRA,Brazil,2005,1.73389354602718,1.75095200096296,4.47909021377563,,21.022747248827,14.7382811396728,14444.0,4054.0,1.00247,515.766,
BRA,Brazil,2006,1.753125703626,2.55393928456781,4.87060022354126,,28.17840004,14.1089458704485,15886.0,3956.0,0.98807,550.49741,
BRA,Brazil,2007,3.19082601308524,4.03572440795213,4.97426986694336,12.6278356939529,30.87999916,14.1542648057288,17469.0,4194.0,1.08138,562.55469,
BRA,Brazil,2008,2.99060946922903,5.26188788450655,5.26884984970093,12.761526959305,33.83,13.9551769000753,18890.0,4280.0,1.12904,598.65285,
BRA,Brazil,2009,1.88848224095724,6.10682944207956,5.46355009078979,14.7587820517537,39.22,13.0594621488915,18135.0,4271.0,1.11866,634.14103,
BRA,Brazil,2010,3.73001288350945,7.27968486054674,5.64879989624023,12.590146869358,40.65,12.7218596106703,20771.0,4228.0,1.15992,696.09998,
BRA,Brazil,2011,3.91518011405433,9.13182030910824,5.73741006851196,11.1409081379377,45.69,11.7837976692113,23954.0,4695.0,1.13966,749.17174,
BRA,Brazil,2012,3.75496285641218,9.71151141846763,5.85510015487671,11.8872212915256,48.56,10.6759423074609,25637.0,4798.0,1.12684,801.40894,43.8344116210938
BRA,Brazil,2013,3.04150901624338,10.7622017659472,5.8388500213623,11.9698618012495,51.04,10.4796122911618,25925.0,4959.0,1.19567,852.71699,44.9966697692871
BRA,Brazil,2014,3.57135266957477,11.9790772854396,5.94848012924194,12.3711688680768,54.5510018796392,10.3370973963623,25683.0,4659.0,1.26971,903.20079,47.8131904602051
