Intellectual property right :Applications by resident and non-resident

Source: WIPO statistics database. Last updated: May 2026

Office,Office,Origin,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Industrial design (design count)","World","Resident","1013600","1095800","1072600","1142900","1137300","1176500","1240100","1227200","1251000","1250600",
"Industrial design (design count)","World","Non-resident","188900","190400","204700","200900","223700","211300","273700","255400","274600","308800",
"Patent","World","Resident","1980400","2223300","2259900","2396000","2256900","2330000","2402800","2429900","2530000","2702600",
"Patent","World","Non-resident","906600","901900","909200","937500","976200","952600","996800","1024800","1022300","1022400",
"Trademark (class count)","World","Resident","6783600","7790800","10258300","11967300","12754100","14793000","15278600","12986200","12832500","12801400",
"Trademark (class count)","World","Non-resident","1854200","1972500","2107300","2326300","2352500","2383600","2894900","2569700","2416500","2426900",
"Utility model","World","Resident","1187530","1536200","1744070","2127220","2323630","2980780","2902900","2996700","3111290","3237240",
"Utility model","World","Non-resident","18330","17390","17390","18960","17640","19620","21820","14940","16760","17030",
