country,year,hightech_exports_wits,source,indicator,note
China,2013,31.5855813292794,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2014,29.7037271802947,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2015,30.4312672747562,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2016,30.2545232296357,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2017,30.9118639785891,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2018,31.5481478595353,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2019,30.8186302968419,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2020,31.2766154241293,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2021,30.2190732796596,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2022,27.7650612563156,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2023,26.5682136542881,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2024,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
China,2025,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2000,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2001,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2002,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2003,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2004,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2005,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2006,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2007,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2008,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2009,9.56909614274288,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2010,7.73016032755592,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2011,7.87117262454535,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2012,7.70439427946636,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2013,8.87350364988968,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2014,9.22122174793918,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2015,8.02476917234515,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2016,7.66325704378624,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2017,7.36208114076572,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2018,9.04145168835151,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2019,10.2237396907979,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2020,11.0325638466576,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2021,10.2125596625118,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2022,12.6822794807287,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2023,14.9343472986716,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2024,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
India,2025,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2000,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2001,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2002,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2003,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2004,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2005,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2006,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2007,7.62716744231259,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2008,17.0560538737395,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2009,23.3965145235289,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2010,19.3753611640664,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2011,18.3985722541565,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2012,19.8939600431067,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2013,19.0362582405147,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2014,19.4130528417277,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2015,23.6539775366063,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2016,21.8196172712291,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2017,21.0679788533896,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2018,22.5362840096475,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2019,23.0916656017552,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2020,28.197643074759,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2021,29.5956758722761,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2022,29.1090540410523,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2023,32.9027163457357,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2024,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Israel,2025,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2000,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2001,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2002,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2003,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2004,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2005,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2006,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2007,32.4282584168837,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2008,30.4501393108657,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2009,32.1484365401841,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2010,32.1343974843399,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2011,28.2133210437189,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2012,28.2220757644767,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2013,29.8181999078998,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2014,30.0608682657817,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2015,31.2119270912605,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
South Korea,2016,30.5250266717443,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
